Brand;Price;Model;Year;Odometer;Transmission;Fuel;Horse_Power;Engine
;955900;;2024;None;механика;бензин;90;1.6
;955900;;2024;None;механика;бензин;90;1.6
;970900;;2024;None;механика;бензин;90;1.6
;1030900;;2024;None;механика;бензин;106;1.6
;2010900;;2024;None;вариатор;бензин;122;1.8
;1011900;;2024;None;механика;бензин;90;1.6
;929900;;2024;None;механика;бензин;83;1.7
;2010900;;2024;None;вариатор;бензин;122;1.8
;955900;;2024;None;механика;бензин;90;1.6
;1217900;;2024;None;механика;бензин;80;1.7
;859900;;2024;None;механика;бензин;90;1.6
;1217900;;2024;None;механика;бензин;80;1.7
;859900;;2024;None;механика;бензин;90;1.6
;940900;;2024;None;механика;бензин;90;1.6
;970900;;2024;None;механика;бензин;90;1.6
;970900;;2024;None;механика;бензин;90;1.6
;1668900;;2024;None;механика;бензин;106;1.6
;1217900;;2024;None;механика;бензин;80;1.7
;1015900;;2024;None;механика;бензин;106;1.6
;1513900;;2024;None;механика;бензин;106;1.6
;1015900;;2024;None;механика;бензин;106;1.6
;1513900;;2024;None;механика;бензин;106;1.6
;1030900;;2024;None;механика;бензин;106;1.6
;1041900;;2024;None;механика;бензин;90;1.6
;940900;;2024;None;механика;бензин;90;1.6
;985900;;2024;None;механика;бензин;90;1.6
;1045900;;2024;None;механика;бензин;106;1.6
;985900;;2024;None;механика;бензин;90;1.6
chery;2190000;tiggo 4 pro;2024;None;вариатор;бензин;147;1.5
;1459900;;2024;None;механика;бензин;106;1.6
;1459900;;2024;None;механика;бензин;106;1.6
hyundai;3849000;tucson;2024;None;акпп;бензин;149;2.0
geely;4190000;tugella;2024;None;акпп;бензин;200;2.0
;1217900;;2024;None;механика;бензин;80;1.7
;1217900;;2024;None;механика;бензин;80;1.7
;1459900;;2024;None;механика;бензин;106;1.6
chery;2420000;tiggo 4 pro;2024;None;вариатор;бензин;113;1.5
chery;2376000;tiggo 4 pro;2024;None;вариатор;бензин;113;1.5
haval;3599000;dargo;2024;None;робот;бензин;192;2.0
haval;3349000;f7;2024;None;робот;бензин;190;2.0
haval;3349000;f7;2024;None;робот;бензин;190;2.0
haval;2949000;f7;2024;None;робот;бензин;190;2.0
haval;2949000;f7;2024;None;робот;бензин;190;2.0
haval;2949000;f7;2024;None;робот;бензин;150;1.5
;2019000;;2024;None;акпп;бензин;123;1.6
haval;2449000;f7;2024;None;робот;бензин;150;1.5
haval;2749000;f7;2024;None;робот;бензин;150;1.5
haval;3349000;f7;2024;None;робот;бензин;190;2.0
;2019000;;2024;None;акпп;бензин;123;1.6
haval;3349000;f7;2024;None;робот;бензин;190;2.0
;2142000;;2024;None;акпп;бензин;123;1.6
haval;3399000;f7;2024;None;робот;бензин;190;2.0
;2019000;;2024;None;акпп;бензин;123;1.6
haval;3399000;f7;2024;None;робот;бензин;190;2.0
haval;3199000;f7;2024;None;робот;бензин;190;2.0
haval;2999000;f7;2024;None;робот;бензин;190;2.0
;2019000;;2024;None;акпп;бензин;123;1.6
haval;2999000;f7;2024;None;робот;бензин;190;2.0
;2142000;;2024;None;акпп;бензин;123;1.6
haval;2999000;f7;2024;None;робот;бензин;150;1.5
;2099000;;2024;None;акпп;бензин;123;1.6
haval;2649000;f7;2024;None;робот;бензин;150;1.5
;2019000;;2024;None;акпп;бензин;123;1.6
;2019000;;2024;None;акпп;бензин;123;1.6
haval;2649000;f7;2024;None;робот;бензин;150;1.5
haval;2799000;f7;2024;None;робот;бензин;150;1.5
haval;2799000;jolion;2024;None;робот;бензин;150;1.5
